Site,Date,Plot number,Number,Species
East,10/1/2015,3,3,Ocinebrina circumtexta
East,10/1/2015,4,0,Ocinebrina circumtexta
East,10/1/2015,5,2,Ocinebrina circumtexta
West,10/1/2015,6,5,Ocinebrina circumtexta
West,10/1/2015,7,5,Ocinebrina circumtexta
West,10/1/2015,8,6,Ocinebrina circumtexta
West,10/1/2015,9,3,Ocinebrina circumtexta
West,10/1/2015,10,7,Ocinebrina circumtexta
East,10/1/2015,1,3,Nucella emarginata
East,10/1/2015,2,0,Nucella emarginata
East,10/1/2015,3,1,Nucella emarginata
East,10/1/2015,4,1,Nucella emarginata
East,10/1/2015,5,1,Nucella emarginata
West,10/1/2015,6,0,Nucella emarginata
West,10/1/2015,7,0,Nucella emarginata
West,10/1/2015,8,2,Nucella emarginata
West,10/1/2015,9,1,Nucella emarginata
West,10/1/2015,10,0,Nucella emarginata
East,7/14/2017,1,2,Ocinebrina circumtexta
East,7/14/2017,2,1,Ocinebrina circumtexta
East,7/14/2017,3,0,Ocinebrina circumtexta
East,7/14/2017,4,2,Ocinebrina circumtexta
East,7/14/2017,5,0,Ocinebrina circumtexta
West,7/14/2017,6,4,Ocinebrina circumtexta
West,7/14/2017,7,1,Ocinebrina circumtexta
West,7/14/2017,8,6,Ocinebrina circumtexta
West,7/14/2017,9,2,Ocinebrina circumtexta
West,7/14/2017,10,2,Ocinebrina circumtexta
East,7/14/2017,1,5,Nucella emarginata
East,7/14/2017,2,2,Nucella emarginata
East,7/14/2017,3,2,Nucella emarginata
East,7/14/2017,4,3,Nucella emarginata
East,7/14/2017,5,0,Nucella emarginata
West,7/14/2017,6,3,Nucella emarginata
West,7/14/2017,7,2,Nucella emarginata
West,7/14/2017,8,2,Nucella emarginata
West,7/14/2017,9,0,Nucella emarginata
West,7/14/2017,10,1,Nucella emarginata
West,5/17/2021,8A,1,Ocinebrina circumtexta
West,5/17/2021,9A,10,Ocinebrina circumtexta
West,5/17/2021,9B,9,Ocinebrina circumtexta
West,5/17/2021,10A,7,Ocinebrina circumtexta
East,5/17/2021,2A,2,Ocinebrina circumtexta
East,5/17/2021,2B,2,Ocinebrina circumtexta
East,5/17/2021,3A,1,Ocinebrina circumtexta
East,5/17/2021,3B,0,Ocinebrina circumtexta
East,5/17/2021,4A,7,Ocinebrina circumtexta
West,5/17/2021,7A,18,Ocinebrina circumtexta
West,5/17/2021,7B,23,Ocinebrina circumtexta
East,5/17/2021,1A,0,Ocinebrina circumtexta
East,5/17/2021,1B,4,Ocinebrina circumtexta
East,5/17/2021,5A,4,Ocinebrina circumtexta
West,5/17/2021,6A,2,Ocinebrina circumtexta
West,5/17/2021,6B,2,Ocinebrina circumtexta
West,5/17/2021,10B,1,Ocinebrina circumtexta
West,5/17/2021,8A,1,Nucella emarginata
West,5/17/2021,9A,4,Nucella emarginata
West,5/17/2021,9B,0,Nucella emarginata
West,5/17/2021,10A,7,Nucella emarginata
East,5/17/2021,2A,5,Nucella emarginata
East,5/17/2021,2B,0,Nucella emarginata
East,5/17/2021,3A,6,Nucella emarginata
East,5/17/2021,3B,0,Nucella emarginata
East,5/17/2021,4A,28 + whelk eggs,Nucella emarginata
West,5/17/2021,7A,3,Nucella emarginata
West,5/17/2021,7B,0,Nucella emarginata
East,5/17/2021,1A,6,Nucella emarginata
East,5/17/2021,1B,1,Nucella emarginata
East,5/17/2021,5A,1,Nucella emarginata
West,5/17/2021,6A,12,Nucella emarginata
West,5/17/2021,6B,8,Nucella emarginata
West,5/17/2021,10B,4,Nucella emarginata
East,7/7/2023,1,12,Ocinebrina circumtexta
East,7/7/2023,2,6,Ocinebrina circumtexta
East,7/7/2023,3,11,Ocinebrina circumtexta
East,7/7/2023,4,6,Ocinebrina circumtexta
East,7/7/2023,5,1,Ocinebrina circumtexta
West,7/7/2023,6,5,Ocinebrina circumtexta
West,7/7/2023,7,5,Ocinebrina circumtexta
West,7/7/2023,8,7,Ocinebrina circumtexta
West,7/7/2023,9,5,Ocinebrina circumtexta
West,7/7/2023,10,2,Ocinebrina circumtexta
East,7/7/2023,1,6,Nucella emarginata
East,7/7/2023,2,1,Nucella emarginata
East,7/7/2023,3,3,Nucella emarginata
East,7/7/2023,4,14,Nucella emarginata
East,7/7/2023,5,1,Nucella emarginata
West,7/7/2023,6,2,Nucella emarginata
West,7/7/2023,7,1,Nucella emarginata
West,7/7/2023,8,2,Nucella emarginata
West,7/7/2023,9,0,Nucella emarginata
West,7/7/2023,10,3,Nucella emarginata
East,12/12/2023,1,3,Ocinebrina circumtexta
East,12/12/2023,2,0,Ocinebrina circumtexta
East,12/12/2023,3,4,Ocinebrina circumtexta
East,12/12/2023,4,4,Ocinebrina circumtexta
East,12/12/2023,5,1,Ocinebrina circumtexta
West,12/12/2023,6,4,Ocinebrina circumtexta
West,12/12/2023,7,7,Ocinebrina circumtexta
West,12/12/2023,8,1,Ocinebrina circumtexta
West,12/12/2023,9,1,Ocinebrina circumtexta
West,12/12/2023,10,3,Ocinebrina circumtexta
East,12/12/2023,1,3,Nucella emarginata
East,12/12/2023,2,8,Nucella emarginata
East,12/12/2023,3,0,Nucella emarginata
East,12/12/2023,4,13,Nucella emarginata
East,12/12/2023,5,1,Nucella emarginata
West,12/12/2023,6,0,Nucella emarginata
West,12/12/2023,7,2,Nucella emarginata
West,12/12/2023,8,1,Nucella emarginata
West,12/12/2023,9,1,Nucella emarginata
West,12/12/2023,10,2,Nucella emarginata
East,3/8/2024,1,2,Ocinebrina circumtexta
East,3/8/2024,2,5,Ocinebrina circumtexta
East,3/8/2024,3,2,Ocinebrina circumtexta
East,3/8/2024,4,1,Ocinebrina circumtexta
East,3/8/2024,5,3,Ocinebrina circumtexta
West,3/8/2024,6,3,Ocinebrina circumtexta
West,3/8/2024,7,11,Ocinebrina circumtexta
West,3/8/2024,8,0,Ocinebrina circumtexta
West,3/8/2024,9,0,Ocinebrina circumtexta
West,3/8/2024,10,5,Ocinebrina circumtexta
East,3/8/2024,1,4,Nucella emarginata
East,3/8/2024,2,0,Nucella emarginata
East,3/8/2024,3,1,Nucella emarginata
East,3/8/2024,4,4,Nucella emarginata
East,3/8/2024,5,1,Nucella emarginata
West,3/8/2024,6,2,Nucella emarginata
West,3/8/2024,7,1,Nucella emarginata
West,3/8/2024,8,1,Nucella emarginata
West,3/8/2024,9,1,Nucella emarginata
West,3/8/2024,10,7,Nucella emarginata
